sp0	0	[[17492000, 17559999], [26640000, 26641999], [39288000, 39301999], [49640000, 49645999]]
sp0	1	[[17492000, 17559999], [26640000, 26641999], [39288000, 39301999], [49640000, 49645999]]
sp1	0	[[17492000, 17555999], [39286000, 39301999], [49690000, 49729999]]
sp1	1	[[17492000, 17555999], [39286000, 39301999], [49690000, 49729999]]
sp2	0	[[17492000, 17555999], [39286000, 39301999]]
sp2	1	[[17492000, 17555999], [39286000, 39301999]]
sp3	0	[[17492000, 17557999], [39286000, 39301999]]
sp3	1	[[17492000, 17557999], [39286000, 39301999]]
sp4	0	[[17490000, 17567999], [39290000, 39301999]]
sp4	1	[[17490000, 17567999], [39290000, 39301999]]
sp5	0	[[17492000, 17557999], [39286000, 39301999]]
sp5	1	[[17492000, 17557999], [39286000, 39301999]]
sp6	0	[[17516000, 17549999], [39286000, 39301999]]
sp6	1	[[17516000, 17549999], [39286000, 39301999]]
sp7	0	[[17492000, 17555999], [39286000, 39301999], [49640000, 49645999]]
sp7	1	[[17492000, 17555999], [39286000, 39301999], [49640000, 49645999]]
sp8	0	[[17492000, 17555999], [39286000, 39301999], [49640000, 49645999]]
sp8	1	[[17492000, 17555999], [39286000, 39301999], [49640000, 49645999]]
sp9	0	[[17488000, 17499999], [17532000, 17545999], [18326000, 18341999], [18552000, 18563999], [22374000, 22391999], [22418000, 22425999], [23552000, 23559999], [23612000, 23619999], [24036000, 24087999], [25512000, 25535999], [25884000, 25891999], [26228000, 26249999], [26384000, 26477999], [27034000, 27083999], [28086000, 28097999], [29822000, 29883999], [30418000, 30445999], [31694000, 31723999], [32642000, 32673999], [32992000, 33049999], [33556000, 33565999], [33622000, 33635999], [33692000, 33785999], [35380000, 35407999], [35974000, 35979999], [36778000, 36839999], [37036000, 37059999], [38546000, 38573999], [39282000, 39323999], [40124000, 40147999], [42790000, 42807999], [42886000, 42915999], [43094000, 43097999], [43276000, 43377999], [43558000, 43603999], [45434000, 45465999], [47164000, 47179999], [47286000, 47299999], [48668000, 48675999], [49342000, 49361999], [49456000, 49467999], [49500000, 49519999], [49640000, 49653999], [49678000, 49699999], [49728000, 49751999], [49928000, 49945999], [50194000, 50261999]]
sp9	1	[[17488000, 17499999], [17532000, 17545999], [18326000, 18341999], [18552000, 18563999], [22374000, 22391999], [22418000, 22425999], [23552000, 23559999], [23612000, 23619999], [24036000, 24087999], [25512000, 25535999], [25884000, 25891999], [26228000, 26249999], [26384000, 26477999], [27034000, 27083999], [28086000, 28097999], [29822000, 29883999], [30418000, 30445999], [31694000, 31723999], [32642000, 32673999], [32992000, 33049999], [33556000, 33565999], [33622000, 33635999], [33692000, 33785999], [35380000, 35407999], [35974000, 35979999], [36778000, 36839999], [37036000, 37059999], [38546000, 38573999], [39282000, 39323999], [40124000, 40147999], [42790000, 42807999], [42886000, 42915999], [43094000, 43097999], [43276000, 43377999], [43558000, 43603999], [45434000, 45465999], [47164000, 47179999], [47286000, 47299999], [48668000, 48675999], [49342000, 49361999], [49456000, 49467999], [49500000, 49519999], [49640000, 49653999], [49678000, 49699999], [49728000, 49751999], [49928000, 49945999], [50194000, 50261999]]
sp10	0	[[17520000, 17555999], [17892000, 17905999], [18010000, 18019999], [18326000, 18329999], [18390000, 18407999], [25524000, 25531999], [26648000, 26659999], [27664000, 27665999], [29840000, 29863999], [30226000, 30241999], [30942000, 30967999], [34118000, 34129999], [35964000, 35981999], [37034000, 37111999], [38546000, 38557999], [39288000, 39301999], [42138000, 42141999], [43288000, 43369999], [47786000, 47787999], [48414000, 48441999], [49336000, 49351999], [49460000, 49465999], [49640000, 49653999]]
sp10	1	[[17520000, 17555999], [17892000, 17905999], [18010000, 18019999], [18326000, 18329999], [18390000, 18407999], [25524000, 25531999], [26648000, 26659999], [27664000, 27665999], [29840000, 29863999], [30226000, 30241999], [30942000, 30967999], [34118000, 34129999], [35964000, 35981999], [37034000, 37111999], [38546000, 38557999], [39288000, 39301999], [42138000, 42141999], [43288000, 43369999], [47786000, 47787999], [48414000, 48441999], [49336000, 49351999], [49460000, 49465999], [49640000, 49653999]]
sp11	0	[[17492000, 17557999], [39286000, 39301999]]
sp11	1	[[17492000, 17557999], [39286000, 39301999]]
sp12	0	[[17492000, 17555999], [39286000, 39303999], [49640000, 49647999]]
sp12	1	[[17492000, 17555999], [39286000, 39303999], [49640000, 49647999]]
sp13	0	[[17488000, 17551999], [39286000, 39301999]]
sp13	1	[[17488000, 17551999], [39286000, 39301999]]
sp14	0	[[17490000, 17549999], [29840000, 29851999], [39290000, 39301999], [43566000, 43585999], [49634000, 49649999], [49690000, 49725999]]
sp14	1	[[17490000, 17549999], [29840000, 29851999], [39290000, 39301999], [43566000, 43585999], [49634000, 49649999], [49690000, 49725999]]
sp15	0	[[17434000, 17453999], [17484000, 17503999], [17510000, 17549999], [17896000, 17903999], [17988000, 18023999], [18326000, 18363999], [18390000, 18407999], [18526000, 18597999], [19252000, 19279999], [19430000, 19455999], [20926000, 20939999], [22370000, 22425999], [22518000, 22519999], [23556000, 23565999], [24036000, 24053999], [24084000, 24087999], [24442000, 24547999], [25264000, 25275999], [25520000, 25535999], [25606000, 25611999], [25860000, 25887999], [25926000, 25931999], [26216000, 26253999], [26420000, 26455999], [26472000, 26485999], [26632000, 26643999], [27034000, 27051999], [27062000, 27083999], [27376000, 27393999], [27432000, 27437999], [27614000, 27621999], [27668000, 27719999], [27846000, 27859999], [27922000, 27923999], [27928000, 27957999], [29584000, 29641999], [29836000, 29931999], [30416000, 30431999], [30734000, 30759999], [31012000, 31019999], [31660000, 31725999], [32348000, 32357999], [32452000, 32463999], [32700000, 32735999], [32788000, 32815999], [32992000, 33023999], [33602000, 33647999], [33720000, 33737999], [34122000, 34131999], [34414000, 34421999], [35796000, 35829999], [36792000, 36803999], [36828000, 36857999], [37028000, 37067999], [37092000, 37097999], [38020000, 38035999], [38534000, 38569999], [39286000, 39313999], [39754000, 39763999], [40078000, 40105999], [40760000, 40769999], [41378000, 41397999], [42062000, 42139999], [42198000, 42233999], [42288000, 42295999], [42306000, 42321999], [42792000, 42805999], [42932000, 42947999], [43216000, 43217999], [43254000, 43375999], [43510000, 43515999], [43558000, 43605999], [44640000, 44689999], [45110000, 45119999], [45438000, 45443999], [46008000, 46013999], [46350000, 46357999], [46484000, 46501999], [46614000, 46677999], [46714000, 46729999], [46814000, 46819999], [47284000, 47297999], [48666000, 48675999], [48836000, 48887999], [48934000, 48943999], [49018000, 49029999], [49192000, 49199999], [49344000, 49363999], [49400000, 49409999], [49458000, 49489999], [49638000, 49657999], [49668000, 49697999], [49790000, 49801999], [50190000, 50287999]]
